ENSG	GeneName	chr	GeneStart	GeneEnd	NCBI	HGNC	partition	omim
ENSG00000212127	TAS2R14	12	10937408	11171573	50840	HGNC:14920	3	
ENSG00000175764	TTLL11	9	121815674	122093606	158135	HGNC:18113	9	
ENSG00000185883	ATP6V0C	16	2513952	2520218	527	HGNC:855	10	mmdg
ENSG00000025434	NR1H3	11	47248300	47269033	10062	HGNC:7966	2	
ENSG00000175544	CABP4	11	67452406	67461752	57010	HGNC:1386	4	mmdg
ENSG00000180914	OXTR	3	8750381	8769628	5021	HGNC:8529	9	
ENSG00000152580	IGSF10	3	151425384	151461061	285313	HGNC:26384	6	
ENSG00000117013	KCNQ4	1	40783787	40840452	9132	HGNC:6298	6	mmdg
ENSG00000136875	PRPF4	9	113275642	113294009	9128	HGNC:17349	7	mmdg
ENSG00000117151	CTBS	1	84549611	84574480	1486	HGNC:2496	9	
ENSG00000166006	KCNC2	12	75040077	75209839	3747	HGNC:6234	3	mmdg
ENSG00000243627	SMIM34	21	34418715	34423951	388820	HGNC:39601	4	
ENSG00000130032	PRRG3	X	151694607	151705924	79057	HGNC:30798	4	
ENSG00000107864	CPEB3	10	92046692	92291078	22849	HGNC:21746	8	
ENSG00000152382	TADA1	1	166856510	166876264	117143	HGNC:30631	10	
ENSG00000164946	FREM1	9	14737152	14910995	158326	HGNC:23399	3	mmdg
ENSG00000140564	FURIN	15	90868588	90883564	5045	HGNC:8568	2	
ENSG00000142538	PTH2	19	49422419	49423441	113091	HGNC:30828	9	
ENSG00000205497	OR51A4	11	4942831	4947605	401666	HGNC:14795	3	
ENSG00000182903	ZNF721	4	425815	499156	170960	HGNC:29425	2	
ENSG00000106038	EVX1	7	27242700	27250493	2128	HGNC:3506	7	
ENSG00000183401	CCDC159	19	11344684	11354944	126075	HGNC:26996	5	
ENSG00000185650	ZFP36L1	14	68787660	68796253	677	HGNC:1107	1	
ENSG00000108576	SLC6A4	17	30194319	30236002	6532	HGNC:11050	6	cmdg
ENSG00000104723	TUSC3	8	15417215	15766649	7991	HGNC:30242	8	mmdg
ENSG00000172878	METAP1D	2	171999943	172082430	254042	HGNC:32583	2	
ENSG00000185271	KLHL33	14	20425852	20436166	123103	HGNC:31952	2	
ENSG00000178372	CALML5	10	5498697	5499570	51806	HGNC:18180	8	
ENSG00000255974	CYP2A6	19	40843541	40850447	1548	HGNC:2610	7	cmdg, mmdg
ENSG00000072042	RDH11	14	67676800	67695793	51109	HGNC:17964	10	mmdg
ENSG00000101247	NDUFAF5	20	13785007	13821580	79133	HGNC:15899	7	mmdg
ENSG00000115364	MRPL19	2	75646783	75690851	9801	HGNC:14052	8	
ENSG00000112936	C7	5	40909492	41020216	730	HGNC:1346	9	mmdg
ENSG00000180228	PRKRA	2	178431292	178451512	8575	HGNC:9438	2	mmdg
ENSG00000138801	PAPSS1	4	107590276	107720234	9061	HGNC:8603	3	
ENSG00000143850	PLEKHA6	1	204218853	204377665	22874	HGNC:17053	5	
ENSG00000120669	SOHLH2	13	36168217	36214588	54937	HGNC:26026	3	
ENSG00000214642	DEFB113	6	49968677	49969625	245927	HGNC:18094	8	
ENSG00000176253	OR4K13	14	20029399	20036038	390433	HGNC:15351	1	
ENSG00000078747	ITCH	20	34363235	34511773	83737	HGNC:13890	5	mmdg
ENSG00000118946	PCDH17	13	57631744	57729311	27253	HGNC:14267	9	
ENSG00000121691	CAT	11	34438934	34472060	847	HGNC:1516	5	mmdg
ENSG00000129673	AANAT	17	76453351	76470117	15	HGNC:19	1	
ENSG00000177613	CSTF2T	10	51695486	51699595	23283	HGNC:17086	9	
ENSG00000136732	GYPC	2	126656133	126696667	2995	HGNC:4704	10	cmdg
ENSG00000120705	ETF1	5	138506095	138543236	2107	HGNC:3477	2	
ENSG00000115850	LCT	2	135787850	135837184	3938	HGNC:6530	8	mmdg
ENSG00000132554	RGS22	8	99960936	100131268	26166	HGNC:24499	8	
ENSG00000114013	CD86	3	122055362	122121139	942	HGNC:1705	3	
ENSG00000165192	ASB11	X	15281697	15315640	140456	HGNC:17186	10	
ENSG00000204381	LAYN	11	111540280	111561745	143903	HGNC:29471	7	
ENSG00000196408	NOXO1	16	1978917	1984192	124056	HGNC:19404	4	
ENSG00000123570	RAB9B	X	103822327	103832257	51209	HGNC:14090	6	
ENSG00000122641	INHBA	7	41667168	41705834	3624	HGNC:6066	1	
ENSG00000213214	ARHGEF35	7	144186083	144195879	445328	HGNC:33846	7	
ENSG00000163069	SGCB	4	52020706	52038299	6443	HGNC:10806	4	mmdg
ENSG00000153140	CETN3	5	90392257	90409766	1070	HGNC:1868	2	
ENSG00000099381	SETD1A	16	30957294	30984664	9739	HGNC:29010	4	mmdg
ENSG00000187736	NHEJ1	2	219069355	219160869	79840	HGNC:25737	1	mmdg
ENSG00000204614	TRIM40	6	30136124	30148735	135644	HGNC:18736	8	
ENSG00000114841	DNAH1	3	52316319	52400492	25981	HGNC:2940	2	mmdg
ENSG00000186188	FFAR4	10	93566665	93604480	338557	HGNC:19061	4	cmdg
ENSG00000197888	UGT2B17	4	68537173	68576413	7367	HGNC:12547	7	cmdg
ENSG00000196104	SPOCK3	4	166733384	167234796	50859	HGNC:13565	8	
ENSG00000164743	C8orf48	8	13566869	13568288	157773	HGNC:26345	7	
ENSG00000205078	SYCE1L	16	77199408	77213215	100130958	HGNC:37236	1	
ENSG00000104290	FZD3	8	28494205	28574267	7976	HGNC:4041	1	
ENSG00000125633	CCDC93	2	117915478	118014133	54520	HGNC:25611	10	
ENSG00000147027	TMEM47	X	34627075	34657285	83604	HGNC:18515	3	
ENSG00000172782	FADS6	17	74877302	74893781	283985	HGNC:30459	3	
ENSG00000177917	ARL6IP6	2	152717647	152762396	151188	HGNC:24048	4	
ENSG00000198542	ITGBL1	13	101452593	101720856	9358	HGNC:6164	5	
ENSG00000130751	NPAS1	19	47019837	47045775	4861	HGNC:7894	8	
ENSG00000167207	NOD2	16	50693588	50733077	64127	HGNC:5331	9	cmdg, mmdg
ENSG00000131910	NR0B2	1	26911489	26913975	8431	HGNC:7961	7	mmdg
ENSG00000169885	CALML6	1	1915108	1917296	163688	HGNC:24193	8	
ENSG00000167637	ZNF283	19	43827321	43852017	284349	HGNC:13077	10	
ENSG00000121904	CSMD2	1	33513998	34165842	114784	HGNC:19290	4	
ENSG00000163053	SLC16A14	2	230034982	230068993	151473	HGNC:26417	6	
ENSG00000105464	GRIN2D	19	48393668	48444931	2906	HGNC:4588	7	mmdg
ENSG00000117586	TNFSF4	1	173183731	173207331	7292	HGNC:11934	2	cmdg
ENSG00000164346	NSA2	5	74766991	74780113	10412	HGNC:30728	6	
ENSG00000166342	NETO1	18	72742314	72868146	81832	HGNC:13823	10	
ENSG00000164951	PDP1	8	93857807	93926068	54704	HGNC:9279	9	mmdg
ENSG00000110448	CD5	11	61102489	61127852	921	HGNC:1685	9	
ENSG00000124383	MPHOSPH10	2	71130310	71150101	10199	HGNC:7213	9	
ENSG00000265972	TXNIP	1	145992435	145996579	10628	HGNC:16952	9	
ENSG00000010030	ETV7	6	36354091	36387800	51513	HGNC:18160	2	
ENSG00000256683	ZNF350	19	51964340	51986856	59348	HGNC:16656	2	
ENSG00000156802	ATAD2	8	123319850	123416350	29028	HGNC:30123	7	
ENSG00000135899	SP110	2	230165186	230225729	3431	HGNC:5401	4	cmdg, mmdg
ENSG00000115970	THADA	2	43230851	43596038	63892	HGNC:19217	10	
ENSG00000180071	ANKRD18A	9	38540567	38620596	253650	HGNC:23643	8	
ENSG00000136059	VILL	3	37988059	38007188	50853	HGNC:30906	4	
ENSG00000146109	ABT1	6	26596953	26600739	29777	HGNC:17369	8	
ENSG00000130182	ZSCAN10	16	3088890	3099295	84891	HGNC:12997	4	mmdg
ENSG00000086589	RBM22	5	150690792	150701077	55696	HGNC:25503	5	
ENSG00000134256	CD101	1	117001750	117036552	9398	HGNC:5949	10	
ENSG00000139946	PELI2	14	56117814	56301524	57161	HGNC:8828	4	
ENSG00000077498	TYR	11	89177875	89295759	7299	HGNC:12442	2	cmdg, mmdg
ENSG00000130818	ZNF426	19	9523223	9538645	79088	HGNC:20725	10	
ENSG00000101190	TCFL5	20	62841005	62861822	10732	HGNC:11646	7	
ENSG00000115947	ORC4	2	147930396	148021604	5000	HGNC:8490	5	mmdg
ENSG00000136197	C7orf25	7	42909273	42912305	79020	HGNC:21703	2	
ENSG00000101883	RHOXF1	X	120109051	120245267	158800	HGNC:29993	2	
ENSG00000136824	SMC2	9	104094260	104141419	10592	HGNC:14011	9	
ENSG00000227152	OR2T7	1	248436359	248444316	81458	HGNC:15019	5	
ENSG00000103769	RAB11A	15	65726054	65891989	8766	HGNC:9760	1	
ENSG00000129595	EPB41L4A	5	112142441	112419313	64097	HGNC:13278	3	
ENSG00000162999	DUSP19	2	183078559	183100008	142679	HGNC:18894	1	
ENSG00000152582	SPEF2	5	35617844	35814611	79925	HGNC:26293	1	mmdg
ENSG00000144395	CCDC150	2	196639554	196763490	284992	HGNC:26834	8	
ENSG00000135074	ADAM19	5	157395534	157575775	8728	HGNC:197	6	
